DATE,NYGDPMKTPCDWLD
1997-01-01,31435985940809.5
1997-01-01,31435985940809.5
1997-01-01,31435985940809.5
1997-01-01,31435985940809.5
1997-01-01,31435985940809.5
1997-01-01,31435985940809.5
1997-01-01,31435985940809.5
1997-01-01,31435985940809.5
1997-01-01,31435985940809.5
1997-01-01,31435985940809.5
1997-01-01,31435985940809.5
1997-01-01,31435985940809.5
1998-01-01,31367309193548.1
1998-01-01,31367309193548.1
1998-01-01,31367309193548.1
1998-01-01,31367309193548.1
1998-01-01,31367309193548.1
1998-01-01,31367309193548.1
1998-01-01,31367309193548.1
1998-01-01,31367309193548.1
1998-01-01,31367309193548.1
1998-01-01,31367309193548.1
1998-01-01,31367309193548.1
1998-01-01,31367309193548.1
1999-01-01,32529370037527.9
1999-01-01,32529370037527.9
1999-01-01,32529370037527.9
1999-01-01,32529370037527.9
1999-01-01,32529370037527.9
1999-01-01,32529370037527.9
1999-01-01,32529370037527.9
1999-01-01,32529370037527.9
1999-01-01,32529370037527.9
1999-01-01,32529370037527.9
1999-01-01,32529370037527.9
1999-01-01,32529370037527.9
2000-01-01,33581571601703.8
2000-01-01,33581571601703.8
2000-01-01,33581571601703.8
2000-01-01,33581571601703.8
2000-01-01,33581571601703.8
2000-01-01,33581571601703.8
2000-01-01,33581571601703.8
2000-01-01,33581571601703.8
2000-01-01,33581571601703.8
2000-01-01,33581571601703.8
2000-01-01,33581571601703.8
2000-01-01,33581571601703.8
2001-01-01,33382422263799.0
2001-01-01,33382422263799.0
2001-01-01,33382422263799.0
2001-01-01,33382422263799.0
2001-01-01,33382422263799.0
2001-01-01,33382422263799.0
2001-01-01,33382422263799.0
2001-01-01,33382422263799.0
2001-01-01,33382422263799.0
2001-01-01,33382422263799.0
2001-01-01,33382422263799.0
2001-01-01,33382422263799.0
2002-01-01,34669304532580.9
2002-01-01,34669304532580.9
2002-01-01,34669304532580.9
2002-01-01,34669304532580.9
2002-01-01,34669304532580.9
2002-01-01,34669304532580.9
2002-01-01,34669304532580.9
2002-01-01,34669304532580.9
2002-01-01,34669304532580.9
2002-01-01,34669304532580.9
2002-01-01,34669304532580.9
2002-01-01,34669304532580.9
2003-01-01,38899897038562.5
2003-01-01,38899897038562.5
2003-01-01,38899897038562.5
2003-01-01,38899897038562.5
2003-01-01,38899897038562.5
2003-01-01,38899897038562.5
2003-01-01,38899897038562.5
2003-01-01,38899897038562.5
2003-01-01,38899897038562.5
2003-01-01,38899897038562.5
2003-01-01,38899897038562.5
2003-01-01,38899897038562.5
2004-01-01,43811772234694.6
2004-01-01,43811772234694.6
2004-01-01,43811772234694.6
2004-01-01,43811772234694.6
2004-01-01,43811772234694.6
2004-01-01,43811772234694.6
2004-01-01,43811772234694.6
2004-01-01,43811772234694.6
2004-01-01,43811772234694.6
2004-01-01,43811772234694.6
2004-01-01,43811772234694.6
2004-01-01,43811772234694.6
2005-01-01,47459060744747.3
2005-01-01,47459060744747.3
2005-01-01,47459060744747.3
2005-01-01,47459060744747.3
2005-01-01,47459060744747.3
2005-01-01,47459060744747.3
2005-01-01,47459060744747.3
2005-01-01,47459060744747.3
2005-01-01,47459060744747.3
2005-01-01,47459060744747.3
2005-01-01,47459060744747.3
2005-01-01,47459060744747.3
2006-01-01,51442676003488.1
2006-01-01,51442676003488.1
2006-01-01,51442676003488.1
2006-01-01,51442676003488.1
2006-01-01,51442676003488.1
2006-01-01,51442676003488.1
2006-01-01,51442676003488.1
2006-01-01,51442676003488.1
2006-01-01,51442676003488.1
2006-01-01,51442676003488.1
2006-01-01,51442676003488.1
2006-01-01,51442676003488.1
2007-01-01,57968741828029.4
2007-01-01,57968741828029.4
2007-01-01,57968741828029.4
2007-01-01,57968741828029.4
2007-01-01,57968741828029.4
2007-01-01,57968741828029.4
2007-01-01,57968741828029.4
2007-01-01,57968741828029.4
2007-01-01,57968741828029.4
2007-01-01,57968741828029.4
2007-01-01,57968741828029.4
2007-01-01,57968741828029.4
2008-01-01,63616066492489.3
2008-01-01,63616066492489.3
2008-01-01,63616066492489.3
2008-01-01,63616066492489.3
2008-01-01,63616066492489.3
2008-01-01,63616066492489.3
2008-01-01,63616066492489.3
2008-01-01,63616066492489.3
2008-01-01,63616066492489.3
2008-01-01,63616066492489.3
2008-01-01,63616066492489.3
2008-01-01,63616066492489.3
2009-01-01,60340071198873.6
2009-01-01,60340071198873.6
2009-01-01,60340071198873.6
2009-01-01,60340071198873.6
2009-01-01,60340071198873.6
2009-01-01,60340071198873.6
2009-01-01,60340071198873.6
2009-01-01,60340071198873.6
2009-01-01,60340071198873.6
2009-01-01,60340071198873.6
2009-01-01,60340071198873.6
2009-01-01,60340071198873.6
2010-01-01,66036932045341.4
2010-01-01,66036932045341.4
2010-01-01,66036932045341.4
2010-01-01,66036932045341.4
2010-01-01,66036932045341.4
2010-01-01,66036932045341.4
2010-01-01,66036932045341.4
2010-01-01,66036932045341.4
2010-01-01,66036932045341.4
2010-01-01,66036932045341.4
2010-01-01,66036932045341.4
2010-01-01,66036932045341.4
2011-01-01,73357420394392.0
2011-01-01,73357420394392.0
2011-01-01,73357420394392.0
2011-01-01,73357420394392.0
2011-01-01,73357420394392.0
2011-01-01,73357420394392.0
2011-01-01,73357420394392.0
2011-01-01,73357420394392.0
2011-01-01,73357420394392.0
