,NA000334Q,Oil,Weekly U.S. Ending Stocks of Crude Oil  (Thousand Barrels)
1985-01-01,1033006,,774444.0
1985-01-01,1033006,,774444.0
1985-04-01,1073981,,772170.0
1985-04-01,1073981,,772170.0
1985-04-01,1073981,,772170.0
1985-07-01,1090905,,793633.0
1985-07-01,1090905,,793633.0
1985-07-01,1090905,,793633.0
1985-10-01,1141088,,786862.0
1985-10-01,1141088,,786862.0
1985-10-01,1141088,,786862.0
1986-01-01,1104498,,795666.0
1986-01-01,1104498,,795666.0
1986-01-01,1104498,,795666.0
1986-04-01,1138030,,813640.0
1986-04-01,1138030,,813640.0
1986-04-01,1138030,,813640.0
1986-07-01,1148813,,806272.0
1986-07-01,1148813,,806272.0
1986-07-01,1148813,,806272.0
1986-10-01,1188288,,825771.0
1986-10-01,1188288,,825771.0
1986-10-01,1188288,,825771.0
1987-01-01,1148876,,821732.0
1987-01-01,1148876,,821732.0
1987-01-01,1148876,,821732.0
1987-04-01,1205023,,825658.0
1987-04-01,1205023,,825658.0
1987-04-01,1205023,,825658.0
1987-07-01,1218373,576.0,831527.0
1987-07-01,1218373,576.0,831527.0
1987-07-01,1218373,576.0,831527.0
1987-10-01,1282952,729.0,851387.0
1987-10-01,1282952,729.0,851387.0
1987-10-01,1282952,729.0,851387.0
1988-01-01,1236534,644.0,863579.0
1988-01-01,1236534,644.0,863579.0
1988-01-01,1236534,644.0,863579.0
1988-04-01,1297399,562.0,879684.0
1988-04-01,1297399,562.0,879684.0
1988-04-01,1297399,562.0,879684.0
1988-07-01,1319724,563.0,886541.0
1988-07-01,1319724,563.0,886541.0
1988-07-01,1319724,563.0,886541.0
1988-10-01,1382783,517.0,866835.0
1988-10-01,1382783,517.0,866835.0
1988-10-01,1382783,517.0,866835.0
1989-01-01,1346036,442.0,866200.0
1989-01-01,1346036,442.0,866200.0
1989-01-01,1346036,442.0,866200.0
1989-04-01,1405607,429.0,876178.0
1989-04-01,1405607,429.0,876178.0
1989-04-01,1405607,429.0,876178.0
1989-07-01,1418867,430.0,886860.0
1989-07-01,1418867,430.0,886860.0
1989-07-01,1418867,430.0,886860.0
1989-10-01,1471062,496.0,897968.0
1989-10-01,1471062,496.0,897968.0
1989-10-01,1471062,496.0,897968.0
1990-01-01,1434375,508.0,905718.0
1990-01-01,1434375,508.0,905718.0
1990-01-01,1434375,508.0,905718.0
1990-04-01,1490965,476.0,933275.0
1990-04-01,1490965,476.0,933275.0
1990-04-01,1490965,476.0,933275.0
1990-07-01,1499694,498.0,955799.0
1990-07-01,1499694,498.0,955799.0
1990-07-01,1499694,498.0,955799.0
1990-10-01,1538100,595.0,919185.0
1990-10-01,1538100,595.0,919185.0
1990-10-01,1538100,595.0,919185.0
1991-01-01,1475270,633.0,893210.0
1991-01-01,1475270,633.0,893210.0
1991-01-01,1475270,633.0,893210.0
1991-04-01,1532427,461.0,892962.0
1991-04-01,1532427,461.0,892962.0
1991-04-01,1532427,461.0,892962.0
1991-07-01,1548990,471.0,900439.0
1991-07-01,1548990,471.0,900439.0
1991-07-01,1548990,471.0,900439.0
1991-10-01,1601443,432.0,895047.0
1991-10-01,1601443,432.0,895047.0
1991-10-01,1601443,432.0,895047.0
1992-01-01,1554707,400.0,886802.0
1992-01-01,1554707,400.0,886802.0
1992-01-01,1554707,400.0,886802.0
1992-04-01,1619581,369.0,898314.0
1992-04-01,1619581,369.0,898314.0
1992-04-01,1619581,369.0,898314.0
1992-07-01,1640744,348.0,881175.0
1992-07-01,1640744,348.0,881175.0
1992-07-01,1640744,348.0,881175.0
1992-10-01,1705290,391.0,883482.0
1992-10-01,1705290,391.0,883482.0
1992-10-01,1705290,391.0,883482.0
1993-01-01,1638139,334.0,879506.0
1993-01-01,1638139,334.0,879506.0
1993-01-01,1638139,334.0,879506.0
1993-04-01,1701841,318.0,906753.0
1993-04-01,1701841,318.0,906753.0
1993-04-01,1701841,318.0,906753.0
1993-07-01,1724719,368.0,919357.0
1993-07-01,1724719,368.0,919357.0
1993-07-01,1724719,368.0,919357.0
1993-10-01,1793877,441.0,899645.0
1993-10-01,1793877,441.0,899645.0
1993-10-01,1793877,441.0,899645.0
1994-01-01,1736467,355.0,901598.0
1994-01-01,1736467,355.0,901598.0
1994-01-01,1736467,355.0,901598.0
1994-04-01,1809582,314.0,911093.0
1994-04-01,1809582,314.0,911093.0
1994-04-01,1809582,314.0,911093.0
1994-07-01,1837424,340.0,905394.0
1994-07-01,1837424,340.0,905394.0
1994-07-01,1837424,340.0,905394.0
1994-10-01,1903763,342.0,913384.0
1994-10-01,1903763,342.0,913384.0
1994-10-01,1903763,342.0,913384.0
1995-01-01,1835147,325.0,901992.0
1995-01-01,1835147,325.0,901992.0
